u_dpto,u_mpio,cod_mpio,hacinamiento,sin_cocina,sin_agua_cocina
68,861,68861,.047743965,.042804621,.033190578
68,867,68867,.079646021,.18061674,.10958904
68,872,68872,.10406616,.11716058,.057705842
68,895,68895,.055752661,.065415822,.0015527951
70,001,70001,.17220125,.20652574,.036393765
70,110,70110,.24590164,.26195899,.10551107
70,124,70124,.25212464,.34090909,.052631579
70,204,70204,.22233202,.57566768,.018163471
70,215,70215,.17466252,.1936288,.0086784735
70,221,70221,.19358367,.45003647,.91237724
70,230,70230,.27443105,.42168674,.067142859
70,233,70233,.32621691,.70094258,.049769584
70,235,70235,.27862811,.28218946,.097429767
70,265,70265,.21989247,.30951101,.96509695
70,400,70400,.20382953,.23191094,.05076142
70,418,70418,.21455939,.21175343,.013536379
70,429,70429,.18414129,.36828259,.19076689
70,473,70473,.24696016,.30649894,.026124196
70,508,70508,.23286016,.35015106,.048104491
70,523,70523,.24161074,.630597,.21536025
70,670,70670,.30837148,.2775597,.030513646
70,678,70678,.18891537,.3353222,.035474006
70,702,70702,.2093145,.34293193,.046045505
70,708,70708,.24748446,.30046365,.051326614
70,713,70713,.21783182,.35366842,.41473424
70,717,70717,.22134963,.4425371,.023451593
70,742,70742,.28082737,.13271801,.039395928
70,771,70771,.16195121,.50195122,.044117648
70,820,70820,.2501744,.22648619,.3067371
70,823,70823,.19178082,.16303672,.17302799
73,001,73001,.058535866,.099301241,.082028754
73,024,73024,.086021505,.26267281,.017322835
73,026,73026,.11460259,.1284658,.099521533
73,030,73030,.17914979,.23734818,.0097772954
73,043,73043,.066810347,.077586204,.026548672
73,055,73055,.11596639,.094149292,.0058399173
73,067,73067,.19362898,.33166772,.49132949
73,124,73124,.10119841,.11625583,.051182494
73,148,73148,.11753801,.094955489,.0091150776
73,152,73152,.078202993,.086666666,.012048192
73,168,73168,.11557897,.20040856,.016524343
73,200,73200,.17352416,.26118067,.067150638
73,217,73217,.15015244,.27459955,.081440873
73,226,73226,.092105262,.40047961,.049689442
73,236,73236,.11049724,.090047397,.017031631
73,268,73268,.093134001,.14638852,.010172877
73,270,73270,.078152753,.12099644,.015209125
73,275,73275,.11359151,.25120237,.0071491282
73,283,73283,.076704003,.14299278,.042944785
73,319,73319,.17150907,.1421776,.042739727
73,347,73347,.044058744,.077436581,.011049724
73,349,73349,.10995638,.085248426,.025899854
73,352,73352,.095779218,.16545013,.029259896
73,408,73408,.11349693,.11347207,.0069553512
73,411,73411,.053276572,.038709678,.025363276
73,443,73443,.084620267,.16239949,.050955415
73,449,73449,.086216412,.33624816,.047798868
73,461,73461,.11557789,.070588239,.023569023
73,483,73483,.18691589,.37709388,.02359418
73,504,73504,.20581943,.23620026,.02172949
73,520,73520,.10665362,.13111547,.036458332
73,547,73547,.10783055,.060333762,.097165994
73,555,73555,.1362773,.35996196,.10246108
73,563,73563,.12634823,.27272728,.019071311
73,585,73585,.16028368,.19181646,.0060768109
73,616,73616,.13123994,.16747183,.12447079
73,622,73622,.097072423,.052388288,.014925373
73,624,73624,.12643678,.10665881,.059710681
73,671,73671,.19571428,.3125,.5001896
73,675,73675,.16387726,.18688981,.021014493
73,678,73678,.16831683,.32597107,.017571885
73,686,73686,.1036036,.055639099,.0062695923
73,770,73770,.1378026,.13035382,.017208412
73,854,73854,.13741496,.13315217,.013888889
73,861,73861,.12572046,.069164269,.0064030131
73,870,73870,.058925476,.11101475,.03700361
73,873,73873,.093959734,.053691275,.43175489
76,001,76001,.048338324,.070400015,.013356571
76,020,76020,.079816513,.12415902,.083044983
76,036,76036,.05435396,.047959376,.0083365645
76,041,76041,.078078076,.093693696,.01570197
76,054,76054,.063372716,.047261011,.091940977
76,100,76100,.067109145,.048708487,.014074074
76,109,76109,.10519081,.21103035,.19209665
76,111,76111,.050526008,.04456979,.0029972426
76,113,76113,.048690129,.045238096,.024200054
76,122,76122,.061362188,.056029543,.010353396
76,126,76126,.076118231,.17539267,.16648106
76,130,76130,.064408258,.052833531,.032315977
76,147,76147,.044545569,.07715261,.0073577035
76,233,76233,.090479009,.14585799,.038031995
76,243,76243,.081555836,.10790464,.0094339624
76,246,76246,.055045873,.06122449,.010504202
76,248,76248,.061032865,.12227942,.0043250206
76,250,76250,.070128478,.090957731,.011441648
76,275,76275,.060331065,.049756262,.0040143491
76,306,76306,.043507818,.021421285,.0037632568
76,318,76318,.073044062,.12533513,.0042778919
76,364,76364,.046525054,.072403416,.012069654
76,377,76377,.071921185,.17374136,.016276704
76,400,76400,.071584262,.13274437,.02754363
76,403,76403,.052595392,.030261349,.01475882
76,497,76497,.083773322,.14788732,.032834731
76,520,76520,.033013199,.082987346,.0031837516
76,563,76563,.099833056,.081239045,.023131672
76,606,76606,.077362932,.10423671,.0080279233
76,616,76616,.060525145,.19323242,.029816514
76,622,76622,.047745358,.033232246,.034681343
76,670,76670,.063640408,.13935886,.0036084799
76,736,76736,.06532865,.084111214,.015598827
76,823,76823,.075555556,.12795074,.018681707
76,828,76828,.066373304,.11082569,.033397313
76,834,76834,.043381397,.047883909,.0055613676
76,845,76845,.065806448,.050322581,.087467365
76,863,76863,.04647436,.02323718,.01216545
76,869,76869,.076411963,.10958904,.013704496
76,890,76890,.08375819,.087764017,.0085311569
76,892,76892,.083912976,.1420854,.021828512
76,895,76895,.059897661,.087990366,.0065996228
81,001,81001,.1859172,.33185014,.1397821
81,065,81065,.20408654,.30235916,.16102773
81,220,81220,.17448857,.22382672,.055068836
81,300,81300,.21710742,.29836601,.16632444
81,591,81591,.14079823,.28856826,.11254396
81,736,81736,.17162134,.29009137,.0095245242
81,794,81794,.14087617,.22523628,.026120808
85,001,85001,.1037126,.22763517,.34894612
85,010,85010,.12279142,.13193287,.011314286
85,015,85015,.079545453,.16400911,.027777778
85,125,85125,.20849934,.34727755,.074759945
85,136,85136,.10824742,.16494845,.032258064
85,139,85139,.19860943,.17857143,.54753578
85,162,85162,.10446247,.22171487,.018796992
85,225,85225,.17378049,.32366413,.029363785
85,230,85230,.15958738,.098300971,.027380211
85,250,85250,.19408433,.22223622,.039187416
85,263,85263,.21514274,.34147352,.021047918
85,279,85279,.088235296,.11764706,.23958333
85,300,85300,.11848341,.178515,.013333334
85,315,85315,.094827585,.23919308,.030030031
85,325,85325,.14006515,.080260307,.022727273
85,400,85400,.19461697,.21325052,.12820514
85,410,85410,.10791522,.18451223,.011550422
85,430,85430,.17791685,.17046981,.023786869
85,440,85440,.12719056,.143566,.12084407
86,001,86001,.12151992,.17417045,.099396862
86,219,86219,.13816281,.083769634,.049639713
86,320,86320,.13479452,.2323606,.34561589
86,568,86568,.15399255,.24371481,.7859754
86,569,86569,.081675835,.12785774,.057720769
86,571,86571,.18303572,.22257653,.052878179
86,573,86573,.16234796,.28616768,.075813293
86,749,86749,.11280815,.072386056,.04886803
86,755,86755,.12280702,.14569031,.0049464139
86,757,86757,.1538025,.26958004,.98343951
86,760,86760,.23833819,.092498176,.098228663
86,865,86865,.14436063,.38610038,.69496858
86,885,86885,.15502134,.099595323,.015753586
88,001,88001,.15612356,.34514409,.911497
88,564,88564,.066050202,.27476883,.98495209
91,001,91001,.23245122,.32703766,.8138569
91,540,91540,.13918306,.29483283,.98151004
94,001,94001,.24250633,.2615301,.83314353
95,001,95001,.11244551,.3257097,.42670673
95,015,95015,.13078618,.23585598,.61942673
95,025,95025,.10083256,.25925925,.087790109
95,200,95200,.10261194,.2063197,.3312102
97,001,97001,.1549799,.16659203,.86321193
97,161,97161,.17886178,.097560972,.88
97,666,97666,.17977528,.38418078,.91666669
99,001,99001,.24098361,.33192787,.31096029
99,524,99524,.19005328,.2014218,.1384106
99,624,99624,.17514125,.27824858,.072868221
99,773,99773,.15222222,.38709676,.34096691
