MPIO_CCNCT,Dist_EDU,Dist_HEALTH,Dist_SPORT,Pop
52083,0.379,14.133,12.929,3189
85300,0.379,0.321,0.432,1602
19137,0.379,0.352,0.367,1928
66383,0.379,0.377,0.620,2522
15660,0.379,13.730,0.367,689
05021,0.378,0.417,0.417,2215
25777,0.378,0.327,16.737,1629
52506,0.378,9.897,10.519,1896
52210,0.376,15.359,0.486,1265
25845,0.375,19.606,0.402,3616
25407,0.375,9.727,9.902,2793
54174,0.375,30.804,0.400,4302
73520,0.375,0.277,10.890,2951
13810,0.374,0.639,0.388,6138
15511,0.374,15.063,0.278,508
15180,0.372,4.805,24.309,848
25653,0.372,43.948,0.387,526
15183,0.370,46.184,0.375,1942
68855,0.370,0.463,0.411,2319
52250,0.370,0.345,0.358,6979
25839,0.369,20.258,0.424,1407
15690,0.369,0.291,0.364,1987
54051,0.368,0.346,0.350,2069
05475,0.367,#N/A,#N/A,1565
18479,0.366,0.314,0.434,1834
15879,0.366,8.707,0.286,413
68320,0.364,0.257,0.287,1552
18029,0.363,20.674,11.131,1981
52480,0.362,7.976,12.742,2610
66687,0.362,0.387,0.430,5649
52788,0.362,9.471,0.360,2746
54743,0.361,0.273,17.468,840
19821,0.360,0.380,0.242,1970
17444,0.360,39.756,0.727,5699
52473,0.359,#N/A,0.365,5059
25317,0.358,0.508,0.483,5926
63111,0.357,0.219,0.448,1192
15664,0.357,0.358,5.992,946
17272,0.357,0.409,0.466,3466
15204,0.357,11.113,0.283,1280
76845,0.356,0.444,8.702,2251
41026,0.356,0.337,0.344,2383
25867,0.356,0.355,0.375,1423
41676,0.355,0.465,0.305,2522
50270,0.355,0.273,0.268,1332
13062,0.354,14.313,0.535,4710
97161,0.352,#N/A,0.232,1372
54418,0.351,0.313,0.313,1794
15531,0.351,0.293,0.443,2029
15514,0.350,16.936,0.489,1251
15822,0.350,20.619,10.262,769
15212,0.349,0.312,0.295,730
68780,0.346,0.259,0.347,902
15522,0.345,0.273,5.417,790
15464,0.344,10.750,0.618,1992
05809,0.344,0.322,0.059,4053
17442,0.342,0.504,0.512,951
15820,0.341,6.204,7.003,1009
52385,0.341,9.204,0.453,2822
68444,0.341,0.348,0.435,1249
47541,0.340,0.372,28.726,2404
05658,0.339,0.354,15.750,2114
05113,0.338,0.413,18.949,2040
13006,0.337,0.299,7.561,4486
54871,0.337,57.825,0.332,1878
05142,0.336,0.360,0.099,2443
41483,0.336,13.782,13.303,2437
85400,0.336,0.189,0.218,1557
19364,0.335,0.274,24.499,1487
05411,0.335,0.035,0.405,2210
54128,0.332,0.300,0.615,1536
52693,0.332,0.388,4.960,3673
18460,0.331,27.596,43.477,948
25168,0.331,18.141,0.268,843
15325,0.330,0.277,10.776,1028
25426,0.329,0.242,0.357,1575
73770,0.329,0.270,18.409,1487
41518,0.329,0.332,3.384,2668
68235,0.327,0.387,0.501,2495
54377,0.326,0.310,0.374,1604
52036,0.325,0.365,14.091,1990
25154,0.325,0.368,0.406,2093
66456,0.323,0.333,0.450,3641
13580,0.323,0.255,10.884,3175
19022,0.322,0.328,30.267,1205
54670,0.321,0.572,13.191,1799
47545,0.321,0.444,1.045,5609
05690,0.320,0.500,16.503,2624
13490,0.320,15.623,16.975,2031
25178,0.320,11.300,0.385,2615
05206,0.319,0.318,0.399,1774
15842,0.319,17.010,0.264,1012
15686,0.319,0.310,15.148,2369
13268,0.318,13.912,0.342,2736
54480,0.317,17.525,0.430,732
15162,0.317,0.281,5.954,1614
19760,0.316,28.168,28.620,541
25120,0.316,16.392,16.800,1108
25506,0.315,0.177,0.290,1129
05353,0.315,0.374,0.350,3303
73347,0.315,50.653,50.363,1913
68162,0.315,0.300,0.461,3280
41524,0.313,0.341,0.295,11783
05038,0.312,0.454,0.422,2369
15332,0.312,0.317,12.642,1223
41530,0.312,22.026,0.398,1721
52720,0.310,6.203,0.253,1425
15425,0.310,21.094,0.291,1034
68368,0.309,7.729,0.216,651
68296,0.309,0.273,19.006,770
25398,0.308,16.091,0.315,887
68745,0.308,0.419,13.674,1942
73152,0.307,0.339,19.033,1582
15798,0.307,7.973,8.113,1081
68502,0.307,0.553,0.060,1134
15276,0.305,11.978,0.342,1140
15368,0.304,20.358,8.662,988
25596,0.304,22.473,0.359,635
88564,0.304,0.853,#N/A,2091
05652,0.303,38.705,0.202,2435
52560,0.303,8.631,0.375,2045
15500,0.303,7.795,0.317,400
25372,0.302,0.270,0.260,702
05628,0.302,0.256,15.372,2875
20310,0.301,0.386,0.553,1250
19130,0.301,0.298,0.324,1958
25488,0.299,0.269,11.114,2736
15790,0.298,17.525,0.305,1492
68207,0.296,0.294,0.619,2743
44420,0.296,14.540,0.421,1949
73616,0.296,0.417,0.356,3666
52435,0.296,20.791,0.210,1141
52405,0.294,0.280,203.519,2642
68271,0.293,0.195,0.354,1135
73686,0.293,0.348,43.418,1855
23419,0.292,0.420,12.792,3517
52022,0.292,9.201,1.386,1517
85015,0.292,34.467,0.299,1265
54680,0.291,17.855,0.168,1738
17446,0.291,0.321,43.128,676
52696,0.290,#N/A,#N/A,3152
05467,0.290,0.496,12.098,1649
25095,0.290,5.244,0.222,393
68533,0.289,6.756,0.390,1209
05036,0.288,0.242,0.194,1976
05842,0.288,0.483,1.218,1982
68169,0.286,0.201,13.189,693
19050,0.286,1.020,23.299,2367
15224,0.285,13.637,9.896,1455
05854,0.284,0.315,0.294,3198
25898,0.283,8.171,0.818,1193
15810,0.282,13.725,0.262,908
15494,0.282,8.994,0.291,990
52019,0.278,0.192,7.023,2312
15248,0.278,7.032,12.974,1254
15131,0.277,0.436,9.938,235
15632,0.277,0.432,0.361,943
15774,0.276,18.223,22.937,579
25019,0.276,0.313,6.266,1707
19585,0.276,16.874,17.073,1695
54520,0.275,11.289,0.579,986
73622,0.275,45.509,0.268,1824
15380,0.274,11.224,9.261,936
15185,0.274,0.234,14.757,1074
68549,0.273,5.051,0.447,1046
54800,0.272,0.324,0.198,2426
15696,0.272,0.333,13.993,1019
25086,0.272,33.910,4.319,356
15317,0.271,0.235,11.538,620
68418,0.270,16.182,16.454,1629
15720,0.270,34.665,6.427,668
52354,0.269,0.294,12.303,882
13458,0.269,49.774,5.681,3665
25288,0.268,0.262,6.331,168
25797,0.267,3.350,0.286,565
15377,0.266,33.655,0.314,1074
25580,0.264,0.366,0.287,508
68318,0.264,0.252,0.327,1504
66075,0.264,0.256,0.374,1476
15808,0.262,18.985,5.626,727
25224,0.261,0.242,0.308,1131
25807,0.261,7.387,0.229,480
25312,0.260,18.609,0.207,1840
05306,0.260,19.324,0.140,1852
05647,0.259,16.183,0.323,2681
15763,0.256,16.634,0.482,831
05543,0.255,0.299,0.242,2094
25328,0.255,11.139,0.219,1014
15762,0.253,13.921,12.423,457
15109,0.253,14.331,0.279,703
54125,0.251,19.222,0.349,878
68324,0.250,0.339,0.182,1018
15778,0.250,0.177,0.262,678
15676,0.248,0.212,0.352,408
15296,0.248,8.516,0.294,1321
15764,0.248,3.632,0.319,1460
25793,0.248,0.230,0.260,1241
68524,0.247,13.786,10.181,760
15816,0.243,12.227,12.402,607
54398,0.242,0.165,0.202,723
52565,0.242,0.089,0.284,1269
15090,0.241,9.836,0.106,404
52427,0.241,12.905,0.409,6610
15293,0.240,14.075,0.259,555
25871,0.240,34.081,15.001,602
15681,0.239,22.602,0.184,693
52687,0.239,0.270,0.318,1980
68179,0.237,7.191,0.267,574
68684,0.236,0.276,0.275,872
25781,0.235,0.236,0.212,1851
05125,0.231,0.189,0.243,1510
54347,0.231,10.765,0.153,1116
50686,0.231,0.405,22.292,667
68468,0.230,0.281,0.145,620
25841,0.229,0.298,0.277,1022
68217,0.229,0.244,0.337,672
68176,0.228,0.282,28.931,729
25339,0.227,35.122,0.288,895
15187,0.226,10.986,6.080,470
15232,0.226,14.627,0.322,331
25594,0.224,16.561,0.311,1241
15533,0.223,69.268,0.192,443
15236,0.223,21.174,0.430,616
68020,0.223,0.172,0.182,504
15022,0.222,0.262,0.179,314
68686,0.221,12.785,0.166,629
19622,0.220,0.251,0.353,1017
15839,0.220,20.456,1.315,169
15106,0.219,0.223,0.498,477
17665,0.218,0.099,12.848,1210
25862,0.216,0.379,0.379,1129
27073,0.216,37.017,0.291,2539
52694,0.216,6.866,0.207,784
05044,0.215,0.265,7.807,1180
27491,0.215,18.634,18.136,3343
19785,0.214,18.401,18.489,1112
15755,0.214,0.242,29.210,1354
68209,0.211,16.174,0.194,665
19418,0.210,#N/A,0.276,1769
15723,0.206,32.223,0.208,296
68682,0.205,0.359,0.215,760
25645,0.204,0.187,0.223,832
27600,0.203,24.688,23.103,2193
68266,0.203,0.214,0.297,832
15518,0.203,0.219,4.195,923
68298,0.201,0.259,0.166,618
25805,0.199,0.390,0.167,529
54344,0.198,13.544,0.145,1321
19693,0.197,43.936,43.727,607
52203,0.195,0.218,0.209,965
52256,0.194,0.203,49.455,1516
68498,0.194,0.209,6.939,771
76054,0.191,0.191,0.766,2597
25299,0.187,0.175,0.175,667
25518,0.186,42.698,0.149,482
68264,0.186,0.163,0.223,520
15226,0.186,18.708,5.439,251
52540,0.185,20.264,0.135,2521
52258,0.184,25.411,0.288,1478
68013,0.184,16.117,0.151,304
19290,0.182,7.770,12.130,1182
27810,0.181,9.052,0.266,2940
25258,0.181,33.573,0.329,443
25281,0.180,12.342,0.189,1189
15832,0.179,6.162,0.161,251
15218,0.178,19.887,0.142,489
25592,0.173,0.132,0.234,384
44035,0.171,0.184,0.264,14727
25489,0.170,0.170,0.134,616
68705,0.170,33.581,0.226,204
68245,0.168,0.192,0.197,532
15621,0.168,0.431,14.904,593
85279,0.167,20.119,14.542,282
05819,0.167,0.197,0.217,1700
54109,0.167,0.188,57.828,416
15442,0.166,29.788,15.729,701
68132,0.166,6.823,6.791,862
52699,0.161,2.051,0.126,1525
05495,0.159,0.000,14.555,13005
68152,0.158,16.184,15.925,620
15114,0.152,5.219,5.041,417
76243,0.144,0.151,0.087,2169
68121,0.142,12.589,12.618,367
05004,0.139,0.136,23.915,708
27050,0.138,0.084,0.980,2532
52051,0.130,14.658,0.175,1150
54385,0.130,17.593,18.374,1549
27425,0.118,#N/A,0.357,898
68673,0.109,11.304,2.458,243
15092,0.107,0.143,0.206,299
68425,0.087,0.075,8.186,268
68867,0.077,0.051,52.890,708
85136,0.073,77.817,0.202,604
05501,0.069,7.111,5.969,185
25335,0.065,0.069,0.072,1721
52621,0.056,#N/A,0.006,2298
68370,0.056,12.927,13.199,96
15580,0.053,#N/A,0.512,1278
15401,0.027,0.000,0.276,328
54245,0.022,0.873,25.333,2087
68051,0.011,0.148,0.172,2334
68160,0.005,0.007,0.000,426
23682,0.004,32.717,0.004,5109
13655,0.000,0.000,0.000,2321
19824,0.000,0.000,0.000,1289
52418,0.000,0.000,0.000,4045
52254,0.000,0.319,0.271,1200
70429,0.000,0.000,0.000,9464
68092,0.000,0.465,0.313,1270
